"Time","Date","Genotype","Fragment","Nutrients","Heat","Treatment","YII","Sample"
2,"2020-11-14","FM6","266","NH4","No","NH4",0.103,"2020-11-14_266"
2,"2020-11-14","U44","A134","NH4","No","NH4",0.136,"2020-11-14_A134"
2,"2020-11-14","FM6","261","NH4","No","NH4",0.079,"2020-11-14_261"
2,"2020-11-14","Elkhorn","A069","Ambient","No","Control",0.16,"2020-11-14_A069"
2,"2020-11-14","Elkhorn","A079","Ambient","No","Control",0.118,"2020-11-14_A079"
2,"2020-11-14","Elkhorn","A090","Ambient","No","Control",0.154,"2020-11-14_A090"
2,"2020-11-14","Elkhorn","471","Ambient","No","Control",0.169,"2020-11-14_471"
2,"2020-11-14","U44","A006","Ambient","No","Control",0.239,"2020-11-14_A006"
2,"2020-11-14","K2","A174","Ambient","Yes","Heat",0.11,"2020-11-14_A174"
2,"2020-11-14","FM14","277","Ambient","No","Control",0.149,"2020-11-14_277"
2,"2020-11-14","FM9","224","Ambient","Yes","Heat",0.168,"2020-11-14_224"
2,"2020-11-14","K2","A156","Ambient","Yes","Heat",0.194,"2020-11-14_A156"
2,"2020-11-14","U41","A123","Ambient","Yes","Heat",0.094,"2020-11-14_A123"
2,"2020-11-14","U44","A128","Ambient","No","Control",0.175,"2020-11-14_A128"
2,"2020-11-14","K2","A168","Ambient","Yes","Heat",0.239,"2020-11-14_A168"
2,"2020-11-14","FM9","334","Ambient","No","Control",0.142,"2020-11-14_334"
2,"2020-11-14","FM19","A193","Ambient","No","Control",0.115,"2020-11-14_A193"
2,"2020-11-14","FM9","207","Ambient","No","Control",0.089,"2020-11-14_207"
2,"2020-11-14","FM6","260","Ambient","No","Control",0.188,"2020-11-14_260"
2,"2020-11-14","FM6","244","Ambient","No","Control",0.155,"2020-11-14_244"
2,"2020-11-14","FM9","217","Ambient","Yes","Heat",0.067,"2020-11-14_217"
2,"2020-11-14","FM19","A186","Ambient","No","Control",0.148,"2020-11-14_A186"
2,"2020-11-14","FM19","A178","Ambient","No","Control",0.147,"2020-11-14_A178"
2,"2020-11-14","FM14","274","Ambient","Yes","Heat",0.114,"2020-11-14_274"
2,"2020-11-14","FM14","273","Ambient","Yes","Heat",0.085,"2020-11-14_273"
2,"2020-11-14","FM14","275","Ambient","Yes","Heat",0.123,"2020-11-14_275"
2,"2020-11-14","FM9","225","Ambient","Yes","Heat",0.122,"2020-11-14_225"
2,"2020-11-14","FM14","263","Ambient","No","Control",0.13,"2020-11-14_263"
